"orf","SC","SM","YPD"
"YAL002W",0.79128165057,0.681632228259,0.870799583214
"YAL004W",0.993729085729,0.942034857808,0.988947858207
"YAL005C",0.981360818488,0.999968169119,0.966564941264
"YAL007C",0.903936885403,0.934152923187,0.9608017147
"YAL008W",0.984431611746,0.998075777748,1.0012192241
"YAL009W",1.01084178518,0.992601278515,1.03150326776
"YAL010C",0.398286023427,0.177866379198,0.602419627109
"YAL011W",1.01530047148,0.988674320622,0.996259733251
"YAL013W",0.935823653332,0.810549670953,0.809119261432
"YAL014C",1.04724813673,1.01418396342,1.05429706001
"YAL015C",0.994060940288,1.00071551878,1.00436569288
"YAL016C-B",0.957720427015,0.977320972049,0.956080240775
"YAL017W",1.00685460807,1.00757526993,1.00088428799
"YAL018C",1.01965920616,1.00361812096,0.990559439993
"YAL019W",0.927168860016,0.98147650313,0.95794528738
"YAL020C",0.819325703267,0.866334627634,0.822512967546
"YAL021C",0.6549035971555,0.6208180636,0.785108826058
"YAL022C",1.04632529638,1.02897757325,1.05245734626
"YAL023C",0.602019299988,0.733639660812,0.922114501463
"YAL026C",0.907990353863,0.935834161897,0.933751737259
"YAL027W",1.00020756202,0.994354552737,0.991474545742
"YAL028W",0.990159632266,1.03693709946,1.00604805845
"YAL029C",1.00040632697,0.988200205637,0.998611316327
"YAL030W",1.07572943437,1.00198620333,1.02768849916
"YAL031C",1.04957150301,1.01208457122,1.02808411699
"YAL034C",0.999042915551,1.01983089248,1.00655212502
"YAL036C",0.953811372977,0.980751507203,1.0046262599
"YAL037C-A",0.923748071256,0.959498177395,0.968283734289
"YAL037W",0.964764546325,0.949769590389,0.98455347198
"YAL039C",0.981929213885,0.816914167302,0.799578103396
"YAL040C",0.871421122158,0.902350473852,0.916483577798
"YAL042W",0.982021332553,0.978172684865,0.991206144019
"YAL043C-a",0.983671813201,0.970609968072,0.964123699219
"YAL044C",0.346292496103,0,0.868242993078
"YAL044W-A",0.909378916972,0.954424268294,0.975229298963
"YAL045C",1.04452677724,1.0235955975,0.982461661047
"YAL046C",0.905750302443,0.76699160414,1.01947593762
"YAL047C",0.363283470378,0,0.443628992487
"YAL048C",0.773320811991,0.591620484111,0.795076173288
"YAL049C",0.9479608900845,0.9596069088755,0.9881809081405
"YAL053W",0.961853221374,0.972290717298,1.00053272659
"YAL054C",1.0256185125,0.998323113904,1.00181978287
